Setif,29122,0,7,0,3,0,2,12,0.000412059611290433,72.805,58.244
Souamaa,14639,0,1,0,1,0,0,2,0.000136621353917617,36.5975,29.278
Setif2,30158,0,7,2,3,0,2,14,0.000464221765369056,75.395,60.316
El Eulma2,11953,0,4,0,2,0,1,7,0.000585627039237012,29.8825,23.906
Adrar,16081,0,13,0,2,0,6,21,0.00130588893725515,40.2025,32.162
Aoulef,2791,0,4,0,6,0,1,11,0.0039412396990326,6.9775,5.582
Reggane,3909,1,16,1,5,0,2,25,0.00639549756971092,9.7725,7.818
Bechar Est,12149,0,7,0,0,0,2,9,0.000740801712075068,30.3725,24.298
Bechar Ouest,21244,0,54,2,12,0,3,71,0.00334212012803615,53.11,42.488
Tindouf,7711,0,2,0,0,0,0,2,0.000259369731552328,19.2775,15.422
Hikma,4912,0,0,0,3,0,0,3,0.000610749185667752,12.28,9.824
Ain Defla,17114,0,14,2,2,1,6,25,0.00146079233376183,42.785,34.228
Djendel,4058,0,0,0,0,0,0,0,0,10.145,8.116
El Attaf,11303,0,40,4,1,0,4,49,0.00433513226577015,28.2575,22.606
Khemis Miliana,21355,0,38,3,0,0,5,46,0.00215406228049637,53.3875,42.71
Miliana,8272,0,1,0,0,0,1,2,0.000241779497098646,20.68,16.544
Ain Merane,6625,0,2,0,1,0,0,3,0.000452830188679245,16.5625,13.25
Boukadir,9828,0,5,0,0,0,0,5,0.000508750508750509,24.57,19.656
Chettia,15416,0,15,1,1,0,4,21,0.0013622210690192,38.54,30.832
Chlef,18508,0,18,0,2,0,2,22,0.00118867516749514,46.27,37.016
Oued El Fedda,8493,0,5,0,2,0,1,8,0.000941952195926057,21.2325,16.986
Tenes,16275,0,9,0,0,0,0,9,0.000552995391705069,40.6875,32.55
Chlef Ouest,17979,0,10,2,2,0,3,17,0.000945547583291618,44.9475,35.958
Mazouna,8952,0,0,0,0,0,0,0,0,22.38,17.904
Oued Rhiou,18329,0,12,1,1,0,5,19,0.00103660865295433,45.8225,36.658
Relizane,31264,0,49,5,6,0,9,69,0.00220701125895599,78.16,62.528
Zemmoura,5861,0,9,0,0,0,0,9,0.00153557413410681,14.6525,11.722
Frenda,8472,0,5,0,0,0,0,5,0.000590179414542021,21.18,16.944
Mahdia,8817,0,9,3,0,0,2,14,0.0015878416695021,22.0425,17.634
Sougueur,7801,0,9,1,9,0,5,24,0.00307652865017305,19.5025,15.602
Tiaret,19818,0,53,3,0,0,3,59,0.00297709153294984,49.545,39.636
Tiaret2,18278,0,48,3,4,0,3,58,0.00317321369952949,45.695,36.556
Bordj Bounaama,5405,0,0,0,0,0,0,0,0,13.5125,10.81
Tissemsilt,21703,0,25,6,4,0,9,44,0.0020273694880892,54.2575,43.406
Bougtob,3368,0,3,0,0,0,1,4,0.00118764845605701,8.42,6.736
El Abiodh S/C,4999,0,1,0,0,0,0,1,0.0002000400080016,12.4975,9.998
El Bayadh,9538,0,5,1,0,0,0,6,0.000629062696582093,23.845,19.076
El Bayadh 2,9684,0,3,0,0,0,2,5,0.000516315572077654,24.21,19.368
Ain Timouchent,25714,0,22,3,7,0,14,46,0.00178890876565295,64.285,51.428
Beni-saf,10880,0,5,0,0,0,3,8,0.000735294117647059,27.2,21.76
Hamam Bouhadjar,8300,0,7,0,0,0,3,10,0.00120481927710843,20.75,16.6
El Amria,10371,0,8,0,0,0,4,12,0.00115707260630605,25.9275,20.742
Ghriss,6876,0,1,0,0,0,0,1,0.00014543339150669,17.19,13.752
Mascara,27119,0,3,0,0,0,1,4,0.000147498064087909,67.7975,54.238
Mohamadia(MAS),12486,0,6,0,0,0,2,8,0.000640717603716162,31.215,24.972
Sig,14508,0,9,0,0,0,2,11,0.000758202371105597,36.27,29.016
Tighennif,14048,0,3,0,0,0,1,4,0.000284738041002278,35.12,28.096
Mostaganem,22510,0,16,1,12,1,10,40,0.00177698800533096,56.275,45.02
Mostaganem 2,27134,0,17,1,0,0,4,22,0.000810790889658731,67.835,54.268
Sidi Ali,10497,0,0,0,0,0,0,0,0,26.2425,20.994
Ain Nouissy,9072,0,8,0,1,1,1,11,0.00121252204585538,22.68,18.144
Akid Abbes,11392,0,25,1,0,0,4,30,0.00263342696629213,28.48,22.784
Arzew,11138,0,32,0,0,4,1,37,0.00332196085473155,27.845,22.276
Ben M'hidi(Oran),32083,0,13,0,0,0,0,13,0.000405199015054702,80.2075,64.166
Canastel,23343,0,41,3,1,0,0,45,0.00192777277984835,58.3575,46.686
El Yasmine,22301,0,7,2,2,0,0,11,0.000493251423702973,55.7525,44.602
Es-sennia,18940,0,19,0,0,0,1,20,0.00105596620908131,47.35,37.88
Gdyel,7496,0,3,0,2,0,0,5,0.000667022411953042,18.74,14.992
Haddadine,22553,0,2,1,0,0,0,3,0.0001330199973396,56.3825,45.106
Hassi Ben Okba,6587,1,4,0,1,0,5,11,0.00166995597388796,16.4675,13.174
Ibn Rouchd,25051,0,32,2,0,0,8,42,0.0016765797772544,62.6275,50.102
Misserghine,12123,0,0,1,1,0,1,3,0.000247463499133878,30.3075,24.246
Oued Tlilat,5767,0,9,1,1,0,0,11,0.00190740419628923,14.4175,11.534
El Makkari,18023,0,9,0,2,0,0,11,0.000610331243411197,45.0575,36.046
Ain Sefra,8180,0,2,1,0,0,2,5,0.000611246943765281,20.45,16.36
Naâma,4183,0,0,0,0,0,0,0,0,10.4575,8.366
Mechria,11935,0,7,0,0,0,0,7,0.000586510263929619,29.8375,23.87
Hassana,3424,0,0,0,0,0,0,0,0,8.56,6.848
Saida,17998,0,7,0,0,0,4,11,0.000611179019891099,44.995,35.996
Saida2,16302,0,8,0,0,0,0,8,0.000490737332842596,40.755,32.604
Youb,4309,0,0,0,0,0,0,0,0,10.7725,8.618
Ben Badis,7485,0,2,0,0,0,0,2,0.000267201068804275,18.7125,14.97
Sidi Bel Abbes,15076,0,8,2,0,0,1,11,0.000729636508357655,37.69,30.152
Sidi Bel Abbes2,21078,0,18,2,1,0,2,23,0.00109118512192808,52.695,42.156
Sidi Djillali,19110,0,30,3,0,0,9,42,0.0021978021978022,47.775,38.22
Telagh,7048,0,17,2,0,0,2,21,0.00297956867196368,17.62,14.096
Sfisef,6430,0,5,0,0,0,3,8,0.00124416796267496,16.075,12.86
Bab El Assa,3846,0,0,0,0,0,0,0,0,9.615,7.692
Ghazaouet,9323,0,21,3,0,0,2,26,0.00278880188780435,23.3075,18.646
Imama,29145,0,146,2,6,0,8,162,0.00555841482243953,72.8625,58.29
Maghnia,24501,0,26,6,1,0,4,37,0.00151014244316559,61.2525,49.002
Nedroma,8682,0,3,0,0,0,0,3,0.000345542501727712,21.705,17.364
Ouled Mimoun,10535,0,11,2,7,0,10,30,0.00284765068818225,26.3375,21.07
Remchi,18473,0,41,0,6,0,5,52,0.00281491907107671,46.1825,36.946
Sebdou,5973,0,3,0,0,0,1,4,0.000669680227691277,14.9325,11.946
Tlemcen,27682,0,46,1,2,0,6,55,0.0019868506610794,69.205,55.364
Biskra,28716,0,18,3,6,0,8,35,0.00121883270650508,71.79,57.432
Sidi Okba,9023,1,10,2,1,0,5,19,0.00210572980161809,22.5575,18.046
Tolga,14576,0,10,2,0,0,4,16,0.00109769484083425,36.44,29.152
Biskra2,26485,0,15,5,4,0,4,28,0.00105720218991882,66.2125,52.97
Ain Ouassara,13704,0,64,6,1,0,17,88,0.00642148277875073,34.26,27.408
Djelfa,16672,0,27,1,15,0,1,44,0.00263915547024952,41.68,33.344
Djelfa2,16223,0,30,3,0,0,1,34,0.00209578992788017,40.5575,32.446
El Idrissia,3489,0,16,0,0,0,0,16,0.00458584121524792,8.7225,6.978
Hassi Bahbah,8609,0,3,1,0,0,0,4,0.000464630038331978,21.5225,17.218
Messaad,6189,0,6,0,1,0,1,8,0.00129261593149136,15.4725,12.378
Afflou,12874,0,13,0,2,0,0,15,0.00116513903992543,32.185,25.748
Hassi R'mel,4170,0,1,0,0,0,0,1,0.000239808153477218,10.425,8.34
Laghouat,18990,0,0,0,0,0,0,0,0,47.475,37.98
Oasis Nord,21266,0,1,0,0,0,0,1,4.70234176619957e-05,53.165,42.532
Bayada,6333,0,0,0,0,0,1,1,0.000157903047528817,15.8325,12.666
Debila,6549,0,0,0,0,0,1,1,0.000152695067949305,16.3725,13.098
El Oued,11999,0,1,0,0,0,0,1,8.33402783565297e-05,29.9975,23.998
El Oued 2,10930,0,3,2,2,0,2,9,0.000823421774931382,27.325,21.86
Guemar,8451,0,2,0,0,0,0,2,0.00023665838362324,21.1275,16.902
Hassi Khlifa,2845,0,0,0,0,0,0,0,0,7.1125,5.69
Ghardaia,16138,1,21,5,33,0,3,63,0.00390382947081423,40.345,32.276
Guerrara,12690,0,8,0,1,0,0,9,0.000709219858156028,31.725,25.38
Ghardaia2,13461,0,8,1,2,0,2,13,0.000965752915830919,33.6525,26.922
Metlili,6264,0,9,0,0,0,1,10,0.00159642401021711,15.66,12.528
Ain Amenas,3538,0,1,0,0,0,0,1,0.000282645562464669,8.845,7.076
Illizi,4378,0,2,1,0,0,0,3,0.000685244403837369,10.945,8.756
Hassi Messaoud,15317,0,2,0,0,1,1,4,0.000261147744336358,38.2925,30.634
Ouargla,16197,0,6,0,2,1,0,9,0.000555658455269494,40.4925,32.394
Ouargla 2,17498,0,16,0,0,0,0,16,0.000914390216024689,43.745,34.996
Tamanrasset,20499,0,39,0,1,1,1,42,0.00204888043319186,51.2475,40.998
Beni Abbes,5795,0,0,0,0,0,0,0,0,14.4875,11.59
Touggourt,18488,0,7,0,0,0,0,7,0.000378623972306361,46.22,36.976
Timimoun,4471,0,6,0,0,0,1,7,0.00156564526951465,11.1775,8.942
Ain Salah,7205,0,3,0,0,0,1,4,0.000555170020818876,18.0125,14.41
In Guezzam,1374,0,11,3,0,0,1,15,0.0109170305676856,3.435,2.748
El Golea,8995,0,3,0,0,0,0,3,0.000333518621456365,22.4875,17.99
Djemaa,8069,0,6,0,0,0,1,7,0.000867517660180939,20.1725,16.138
El Megheir,6253,0,1,0,2,0,1,4,0.000639692947385255,15.6325,12.506
Djanet,3220,0,2,0,0,0,0,2,0.00062111801242236,8.05,6.44
Bordj Badji Mokhtar,1084,0,35,0,0,0,0,35,0.0322878228782288,2.71,2.168
Ouled Djellal,14366,0,11,3,0,0,8,22,0.00153139356814701,35.915,28.732
